Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2021-06-11,21:00 ,Türkiye tr,0–3,it Italy,"12,916",Stadio Olimpico (Neutral Site),Danny Makkelie,Match Report,
1,Sat,2021-06-12,17:00 ,Wales wls,1–1,ch Switzerland,"8,782",Bakı Olimpiya Stadionu (Neutral Site),Clément Turpin,Match Report,
1,Sat,2021-06-12,18:00 ,Denmark dk,0–1,fi Finland,"13,790",Parken (Neutral Site),Anthony Taylor,Match Report,
1,Sat,2021-06-12,22:00 ,Belgium be,3–0,ru Russia,"26,264",Gazprom Arena (Neutral Site),Antonio Matéu Lahoz,Match Report,
1,Sun,2021-06-13,14:00 ,England eng,1–0,hr Croatia,"18,497",Wembley Stadium (Neutral Site),Daniele Orsato,Match Report,
1,Sun,2021-06-13,19:00 ,Austria at,3–1,mk N. Macedonia,"9,082",Arena Naţională (Neutral Site),Andreas Ekberg,Match Report,
1,Sun,2021-06-13,21:00 ,Netherlands nl,3–2,ua Ukraine,"15,837",Johan Cruyff ArenA (Neutral Site),Felix Brych,Match Report,
1,Mon,2021-06-14,14:00 ,Scotland sct,0–2,cz Czechia,"9,847",Hampden Park (Neutral Site),Daniel Siebert,Match Report,
1,Mon,2021-06-14,17:00 ,Poland pl,1–2,sk Slovakia,"12,862",Gazprom Arena (Neutral Site),Ovidiu Hațegan,Match Report,
1,Mon,2021-06-14,21:00 ,Spain es,0–0,se Sweden,"10,559",Estadio La Cartuja de Sevilla (Neutral Site),Slavko Vinčič,Match Report,
1,Tue,2021-06-15,18:00 ,Hungary hu,0–3,pt Portugal,"55,662",Puskás Aréna (Neutral Site),Cüneyt Çakιr,Match Report,
1,Tue,2021-06-15,21:00 ,France fr,1–0,de Germany,"13,000",Allianz Arena (Neutral Site),Carlos del Cerro,Match Report,
,,,,,,,,,,,
2,Wed,2021-06-16,16:00 ,Finland fi,0–1,ru Russia,"24,540",Gazprom Arena (Neutral Site),Danny Makkelie,Match Report,
2,Wed,2021-06-16,20:00 ,Türkiye tr,0–2,wls Wales,"19,762",Bakı Olimpiya Stadionu (Neutral Site),Artur Soares Dias,Match Report,
2,Wed,2021-06-16,21:00 ,Italy it,3–0,ch Switzerland,"12,445",Stadio Olimpico (Neutral Site),Sergey Karasev,Match Report,
2,Thu,2021-06-17,16:00 ,Ukraine ua,2–1,mk N. Macedonia,"10,001",Arena Naţională (Neutral Site),Fernando Rapallini,Match Report,
2,Thu,2021-06-17,18:00 ,Denmark dk,1–2,be Belgium,"23,395",Parken (Neutral Site),Björn Kuipers,Match Report,
2,Thu,2021-06-17,21:00 ,Netherlands nl,2–0,at Austria,"15,243",Johan Cruyff ArenA (Neutral Site),Orel Grinfeeld,Match Report,
2,Fri,2021-06-18,14:00 ,Sweden se,1–0,sk Slovakia,"11,525",Gazprom Arena (Neutral Site),Daniel Siebert,Match Report,
2,Fri,2021-06-18,17:00 ,Croatia hr,1–1,cz Czechia,"5,607",Hampden Park (Neutral Site),Carlos del Cerro,Match Report,
2,Fri,2021-06-18,20:00 ,England eng,0–0,sct Scotland,"20,306",Wembley Stadium (Neutral Site),Antonio Matéu Lahoz,Match Report,
2,Sat,2021-06-19,15:00 ,Hungary hu,1–1,fr France,"55,998",Puskás Aréna (Neutral Site),Michael Oliver,Match Report,
2,Sat,2021-06-19,18:00 ,Portugal pt,2–4,de Germany,"12,926",Allianz Arena (Neutral Site),Anthony Taylor,Match Report,
2,Sat,2021-06-19,21:00 ,Spain es,1–1,pl Poland,"11,742",Estadio La Cartuja de Sevilla (Neutral Site),Daniele Orsato,Match Report,
,,,,,,,,,,,
3,Sun,2021-06-20,18:00 ,Italy it,1–0,wls Wales,"11,541",Stadio Olimpico (Neutral Site),Ovidiu Hațegan,Match Report,
3,Sun,2021-06-20,20:00 ,Switzerland ch,3–1,tr Türkiye,"17,138",Bakı Olimpiya Stadionu (Neutral Site),Slavko Vinčič,Match Report,
